#dir, user, phone, position, surface, duration(s), steps 
Nexus_Jamie_Hard_InHand_1, Jamie, Nexus, InHand, Hard, 152, 305
Nexus_Jamie_Hard_InHand_2, Jamie, Nexus, InHand, Hard, 152, 306
Pixel_Jamie_Carpet_InHand_1, Jamie, Pixel, InHand, Carpet, 144, 195
Pixel_Jamie_Carpet_InHand_2, Jamie, Pixel, InHand, Carpet, 144, 206
Pixel_Jamie_Carpet_InHand_3, Jamie, Pixel, InHand, Carpet, 147, 255
Pixel_Jamie_Carpet_InHand_4, Jamie, Pixel, InHand, Carpet, 137, 243
Pixel_Jamie_Hard_Armband_1, Jamie, Pixel, Armband, Hard, 147, 280
Pixel_Jamie_Hard_Armband_2, Jamie, Pixel, Armband, Hard, 144, 275
Pixel_Jamie_Hard_BackPocket_1, Jamie, Pixel, BackPocket, Hard, 147, 257
Pixel_Jamie_Hard_BackPocket_2, Jamie, Pixel, BackPocket, Hard, 142, 260
Pixel_Jamie_Hard_FrontPocket_1, Jamie, Pixel, FrontPocket, Hard, 151, 268
Pixel_Jamie_Hard_FrontPocket_2, Jamie, Pixel, FrontPocket, Hard, 145, 266
Pixel_Jamie_Hard_InHand_1, Jamie, Pixel, InHand, Hard, 163, 292
Pixel_Jamie_Hard_InHand_2, Jamie, Pixel, InHand, Hard, 146, 267
Pixel_Jamie_Hard_InHand_3, Jamie, Pixel, InHand, Hard, 162, 323
Pixel_Jamie_Hard_InHand_4, Jamie, Pixel, InHand, Hard, 159, 322
Pixel_Jamie_Hard_NeckPouch_1, Jamie, Pixel, NeckPouch, Hard, 132, 248
Pixel_Jamie_Hard_NeckPouch_2, Jamie, Pixel, NeckPouch, Hard, 144, 272
Pixel_Jamie_Hard_Purse_1, Jamie, Pixel, Purse, Hard, 189, 362
Pixel_Jamie_Hard_Purse_2, Jamie, Pixel, Purse, Hard, 192, 364
Pixel_Jamie_Hard_SwingingArm_1, Jamie, Pixel, SwingingArm, Hard, 143, 284
Pixel_Jamie_Hard_SwingingArm_2, Jamie, Pixel, SwingingArm, Hard, 138, 270
Samsung_Carmelo_Hard_Armband_1, Carmelo, Samsung, Armband, Hard, 153, 295
Samsung_Carmelo_Hard_Armband_2, Carmelo, Samsung, Armband, Hard, 138, 261
Samsung_Carmelo_Hard_BackPocket_1, Carmelo, Samsung, BackPocket, Hard, 187, 314
Samsung_Carmelo_Hard_BackPocket_2, Carmelo, Samsung, BackPocket, Hard, 165, 289
Samsung_Carmelo_Hard_FrontPocket_1, Carmelo, Samsung, FrontPocket, Hard, 190, 277
Samsung_Carmelo_Hard_FrontPocket_2, Carmelo, Samsung, FrontPocket, Hard, 208, 335
Samsung_Carmelo_Hard_InHand_1, Carmelo, Samsung, InHand, Hard, 220, 365
Samsung_Carmelo_Hard_InHand_2, Carmelo, Samsung, InHand, Hard, 192, 301
Samsung_Carmelo_Hard_NeckPouch_1, Carmelo, Samsung, NeckPouch, Hard, 151, 282
Samsung_Carmelo_Hard_NeckPouch_2, Carmelo, Samsung, NeckPouch, Hard, 148, 285
Samsung_Carmelo_Hard_Purse_1, Carmelo, Samsung, Purse, Hard, 162, 288
Samsung_Carmelo_Hard_Purse_2, Carmelo, Samsung, Purse, Hard, 139, 263
Samsung_Dario_Hard_ArmBand_1, Dario, Samsung, ArmBand, Hard, 177, 316
Samsung_Dario_Hard_ArmBand_2, Dario, Samsung, ArmBand, Hard, 168, 312
Samsung_Dario_Hard_BackPocket_1, Dario, Samsung, BackPocket, Hard, 107, 198
Samsung_Dario_Hard_Backpocket_2, Dario, Samsung, Backpocket, Hard, 152, 278
Samsung_Dario_Hard_FrontPocket_1, Dario, Samsung, FrontPocket, Hard, 180, 306
Samsung_Dario_Hard_FrontPocket_2, Dario, Samsung, FrontPocket, Hard, 171, 303
Samsung_Dario_Hard_InHand_1, Dario, Samsung, InHand, Hard, 144, 277
Samsung_Dario_Hard_InHand_2, Dario, Samsung, InHand, Hard, 176, 330
Samsung_Dario_Hard_NeckPouch_1, Dario, Samsung, NeckPouch, Hard, 169, 302
Samsung_Dario_Hard_NeckPouch_2, Dario, Samsung, NeckPouch, Hard, 173, 311
Samsung_Dario_Hard_Purse_1, Dario, Samsung, Purse, Hard, 169, 299
Samsung_Dario_Hard_Purse_2, Dario, Samsung, Purse, Hard, 164, 302
Samsung_Jamie_Hard_InHand_1, Jamie, Samsung, InHand, Hard, 145, 265
Samsung_Jamie_Hard_InHand_2, Jamie, Samsung, InHand, Hard, 152, 266
